sitename,1961,1965,1967,1968,1971,1973,1975,1976,1978,1979,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015
KISKA/LIEF COVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,NA,NA,NA,882,NA,NA,NA,293,221,NA,NA,NA,233,NA,NA,NA,179,NA,NA,158,NA,101,115,48,NA,80.5,NA,NA,NA,67.375,84.5,42.4
LIGHTHOUSE ROCKS,NA,NA,NA,NA,NA,NA,NA,NA,250,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,NA,17,11,NA,NA,15.5,NA,9,NA,8,NA,23.5
MARMOT,NA,NA,NA,NA,NA,NA,NA,NA,6140,6741,NA,NA,5751,NA,4381,2910,3136,2199,NA,1611,NA,986,804,NA,632,760.5,642,NA,NA,NA,NA,494,433,NA,NA,509,275.5,524.5,NA,557,NA,623.5
OGCHUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,42,NA,47,NA,69,43,71.5,NA,NA,90,116.5,109,NA,NA,130.5,NA
OUTER (PYE),NA,NA,NA,NA,NA,NA,NA,500,431,888,NA,NA,1034,NA,933,NA,NA,557,363,180,NA,181,119,NA,NA,106,113,108,NA,58,NA,63,104,NA,NA,122,101.5,145,NA,133,NA,150
PINNACLE ROCK,NA,NA,NA,NA,NA,NA,NA,NA,615,2748,NA,NA,2013,NA,NA,NA,NA,NA,NA,794,NA,773,652,NA,NA,NA,639,634,NA,769,NA,560,643,NA,NA,557.4,NA,748,NA,742.5,714.5,NA
SEA LION ROCK (AMAK),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,160,NA,181,158,NA,NA,185,154,200,NA,NA,185,NA
SEAL ROCKS,NA,NA,NA,NA,NA,NA,NA,316,545,491,NA,NA,799,NA,NA,NA,NA,553,571,657,NA,566,598,NA,352,487,542,NA,500,NA,543,573,532,NA,NA,739.5,514.25,727.5,NA,802.5,NA,673.5
SEGUAM/SADDLERIDGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2475,NA,NA,NA,2635,NA,NA,NA,529,684,NA,NA,NA,444,NA,NA,463,479,NA,468,NA,NA,511.5,530,NA,NA,540,517.5,504.5,NA,NA,530.5,NA
SOUTH ROCKS,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,44,NA,NA,60,NA,70.5,NA,63.5,NA,NA
SUGARLOAF,NA,3391,5200,3e3,3500,NA,3500,3500,5021,5123,NA,NA,3114,NA,3077,NA,NA,2109,1638,NA,1e3,NA,958,NA,NA,673,703,NA,490,NA,NA,488,559,NA,NA,613,424.5,767,NA,861.5,NA,902.5
TAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,357,NA,NA,NA,234,NA,NA,NA,238,NA,NA,153,NA,150,144,NA,NA,130.5,135,NA,49.25,NA,104.5,53.666666666666664
UGAMAK COMPLEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635,1386,NA,NA,434,847,813,NA,711,574,NA,706,589,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UGAMAK/NORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,352,319,415,NA,NA,511.5,NA,484,NA,NA,402.5,NA
UGAMAK/ROUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16,6,39,30.5,44.5,NA,NA,71,NA,154,NA,NA,160.5,NA
UGAMAK/UGAMAK BAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,295,235,268.5,NA,NA,326.5,NA,331,NA,NA,241.5,NA
ULAK/HASGOX POINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,1236,NA,NA,NA,NA,790,NA,NA,NA,638,NA,NA,NA,521,NA,NA,331,NA,257,338,NA,NA,272,264,NA,120.5,NA,175.25,NA
USHAGAT/SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,38,84,NA,100.5,NA,125.5
WALRUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,334,NA,NA,NA,114,NA,250,NA,63,NA,NA,61,NA,NA,35,NA,NA,39,NA,NA,NA,28,NA,NA,NA,14,NA,NA,NA,NA,48
WHITE SISTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,95,116,115,151,NA,182,205,282,NA,NA,403,NA,488,520,NA,NA,847,NA,NA,NA,924.5,NA,910.5
WOODED (FISH),NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,305,NA,232,123,147,149,NA,NA,173,123,125,NA,NA,177.5,223.5,225,NA,275.5,NA,340
YUNASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,1026,NA,NA,NA,NA,230,NA,NA,NA,217,NA,NA,192,161,136,NA,145,NA,110,NA,NA,NA,170.5,185,166.5,NA,NA,NA,167
